p_name,p_rating,rank,tourist_attractions,location,description,known_for,best_time
Gulmarg,4.4/5,1 out of 100  ,29,Jammu and Kashmir,"Situated at an altitude of 2730 m above sea level, Gulmarg is a popular skiing destination located in Pir Panjal Range of Union territory of Jammu and Kashmir. Surrounded by snow-covered lofty Himalayas, meadows of flowers, deep ravines, evergreen forested valleys, Gulmarg also has the world's secon...","['Gulmarg Gondola', 'Alpather Lake', 'Apharwat Peak']", October to June 
Munnar,4.2/5,2 out of 100  ,54,Kerala,"Famous for the tea estates, greenery, winding roads, blanket of mist, and viewpoints, Munnar is a hill station in Kerala, located in the Idukki district. Lying in the Western Ghats at 1600 metres, it is one of the most sought after and visited travel destinations globally, especially popular amongst...","['Mattupetty Dam', 'Kolukkumalai Tea Estate', 'Rose Garden Munnar']", September to May 
Gangtok,4.6/5,3 out of 100  ,34,Sikkim,"Incredibly alluring, pleasantly boisterous and wreathed in clouds - Gangtok, the capital of Sikkim, is one of the most popular hill stations in India. Lying at the height of 1650 m above sea level, the town during its bright sunny days offers spectacular views of Mt. Kanchenjunga. Gangtok is a base ...","['Nathula Pass', 'MG Marg', 'Rumtek Monastery']", Throughout the year 
Manali,4.8/5,4 out of 100  ,53,Himachal Pradesh,"With spectacular valleys, breathtaking views, snowcapped mountains, and lush forests of oak, deodar, and pine, Manali is a magical hill station at the northern end of Kullu valley in Himachal Pradesh. Gifted to the world by the mighty Himalayas, it is known to be one of the most popular destinations...","['Solang Valley', 'Hadimba Devi Temple', 'Manali Mall Road']", October to June 
Srinagar,4.2/5,5 out of 100  ,59,Jammu and Kashmir,"Famously known as 'Heaven on Earth, Srinagar is located in the union territory of Jammu & Kashmir, on the banks of river Jhelum. Known for its serene lakes, lush gardens, and Mughal-era architecture, Srinagar is a timeless destination that beckons travelers from around the world. Srinagar is kno...","['Dal Lake', 'Indira Gandhi Memorial Tulip Garden', 'Shalimar Bagh Mughal Garden']", April to October 
Shillong,4.2/5,6 out of 100  ,33,Meghalaya,"Nestled amidst the pine-clad hills, Shillong, the capital of Meghalaya, unfolds like a picturesque canvas at an elevation of 1496 meters. Revered as the 'Scotland of the East,' the city offers a delightful blend of captivating landscapes, pleasant weather, and rich traditions. Shillong derives its n...","['Umiam Lake', 'Elephant Falls', 'Shillong Peak']", September to May 
Ooty,4.5/5,7 out of 100  ,43,Tamil Nadu,"Nestled amidst Nilgiri hills, Ooty, also known as Udagamandalam, is a hill station in Tamil Nadu which serves as a top-rated tourist destination. Once regarded as the summer headquarters of the East India Company, the Queen of the hills is a picturesque getaway.","['Nilgiri Mountain Railway', 'Ooty Lake', 'Emerald Lake, Ooty']", Throughout the year 
Darjeeling,4.8/5,8 out of 100  ,31,West Bengal,"Darjeeling, the former summer capital of India under the British Raj, has evolved into one of India's most sought-after hill stations. This picturesque hill destination in West Bengal is ideal for a romantic honeymoon. Darjeeling, nestled among acres of tea estates, is 2,050 metres above sea level a...","['Darjeeling Himalayan Railway', 'Darjeeling Peace Pagoda', 'Himalayan Mountaineering Institute']"," February to March, September to December "
Ladakh,4.7/5,9 out of 100  ,70,,"Ladakh, located in the northernmost region of India, is a high-altitude desert renowned for its breathtaking landscapes, serene monasteries, and unique cultural heritage. Formerly falling in the state of Jammu & Kashmir, Ladakh was administered a union territory on 31st October 2019. Extending f...","['Pangong Lake', 'Khardung La', 'Nubra Valley']", April - Mid-July 
Rishikesh,4.5/5,10 out of 100  ,54,Uttarakhand,"Located in the foothills of the Himalayas along the convergence of Ganga and Chandrabhaga River, Rishikesh is a small town in the Dehradun district, located close to Haridwar in Uttarakhand. Rishikesh (also called as Hrishikesh) is known for its adventure activities, ancient temples, popular ca...","['Triveni Ghat', 'Rafting in Rishikesh', 'Lakshman Jhula']", Throughout the year 
